Gene,TE_t0,TE_t1,TE_t2,cluster
ANP32B,3.9964110064365603,3.0602677417696897,3.66734063187649,1
HNRNPH3,3.54529091317606,3.0232509707361697,3.33512093378577,1
HSPB1,2.68722151243257,2.81840048748989,3.2342020229434403,1
ELANE,2.78152675967018,1.77883143864845,3.46009094802539,1
YWHAE,3.12552315850243,2.20341338677859,3.11618509322241,1
RAB6B,2.98009730627308,2.26201436023856,2.7876794787315102,1
APOBEC3C,3.33818314267352,2.33351488116483,3.42586106846955,1
FUS,3.5292085160319,2.39764814014752,3.29531342669569,1
TRAPPC1,3.1868209135092997,2.1141555626391204,3.5406374066758697,1
RAB11B,3.43518788512577,1.89895538654648,3.53601306495643,1
KRT10,2.00940199451719,1.8823413117380199,2.90564051759639,1
UQCRHL,1.57754894405,2.6790364909183904,2.88301103061368,1
SPP1,2.02291277550594,2.55761330191384,2.91029827944733,1
TIMM8B,1.4490412084307098,2.44341190640344,2.2273880410770297,1
COPS9,1.35947613244595,2.3123902385260298,2.23817355817887,1
SNRPD1,1.4751593576726298,2.27503241859366,2.0008125702093897,1
SNRPF,1.61131154418331,2.09577651141122,2.07990327087764,1
ATP5F1E,1.50947687131623,2.10574453512613,1.94620686181255,1
TBCA,1.55194029332001,2.0389619729538797,1.87597649577053,1
HNRNPA0,1.6940607890567498,2.12521246732399,1.7838490177789097,1
MRFAP1,1.5900640571973201,2.36967844292197,1.80741997394279,1
GYPE,1.53328996533559,2.4183467583383997,1.813264664144,1
HNRNPA1,2.0665985558597297,2.816983041768,2.2299966694660296,1
C17orf49,2.45457986007689,2.38664493953159,2.34890707240827,1
GNG5,2.2135486306117795,2.0353262660488896,2.58930707612054,1
ATP5PF,2.20214226332212,2.05582778986019,2.6398189645473997,1
YWHAB,2.33282084939631,2.00856223491528,2.4693395944599597,1
POLR3K,2.4128125415662502,2.09943176873883,2.4903968275627997,1
GAR1,2.44179046316537,1.9096670767349602,2.22687036144552,1
S100A10,2.40264520015471,1.8051677194772,2.19778045969618,1
DYNLL2,2.2826410425485397,2.1248698437966898,2.09495687682324,1
STMN1,2.29695939502107,1.9472210565048103,2.2418383153807997,1
REEP5,2.2999685177285,2.07158653936634,2.224138514621,1
HNRNPA2B1,2.27218069530416,2.00269335436781,1.80679646978835,1
ITM2B,1.98970489644075,1.87281117460287,1.72936682725129,1
SNRPA1,2.01836028471865,2.22744958872408,2.22152956577238,1
NUDC,2.03874649421452,2.06421710453975,2.03856170003034,1
LAMP2,1.9229578571680301,2.00702862498882,2.1002062332033997,1
PAIP2,2.11164265859781,2.35800048797051,1.83169558444244,1
PFDN2,2.10855333219177,2.44581098180605,1.8001752849712198,1
ANP32E,1.92427440603706,2.1699164379460503,1.89966198839634,1
MAGOH,1.97620624741108,2.37767564346582,1.9605316708405,1
CHERP,3.0228594527682797,1.06073144971146,2.4460876654373704,1
SYVN1,2.8597089333015497,1.1581745336446299,2.31507334620617,1
ZYX,2.94121131493158,0.848970902195354,2.8476633425374596,1
ENG,3.32741927269109,0.676392691943914,2.72438370778045,1
SP2,3.0981619277072503,0.65503192971648,2.4475541578843196,1
PPP3R1,3.00185411266902,1.8055390253018,2.3364536297292204,1
TAF15,2.8346113260911103,2.0112265070203104,2.19021974289024,1
HSPA5,2.80735271905735,1.73087862180336,1.9294483630116999,1
HNRNPD,2.79653769096586,1.7855593960965601,2.1021597526277103,1
ARHGDIA,3.17145353869976,1.4540117347208799,2.53052282295625,1
GATAD2B,3.08275272364821,1.4143932216754198,2.6351404608125697,1
PRKACA,3.07661006466644,1.3992201605892598,2.5523176182712297,1
PCBP1,2.9971365246853594,1.4969485553988897,2.61647713341192,1
SF3A1,2.96967965137813,1.4345252554413,2.64376423745368,1
ATP6V0C,3.2514125116056602,1.54429903852089,3.06554530051912,1
FN3K,3.0821724240605803,1.54255993278297,2.8364675336461604,1
SMARCB1,2.53694535923833,1.5190034888042803,2.9053174579123198,1
SF1,2.44499371321329,1.3999276744905702,2.80939481348023,1
RPS16,2.51674851720289,1.85254093812928,2.81769161034531,1
PRKCSH,2.82774449946705,1.86764095342419,2.80485574842562,1
ATIC,2.7675748425497697,1.49145028213687,2.5144581839925,1
SF3B4,2.59481038422496,1.51904299992034,2.59225295082931,1
RAB7A,2.88086702390219,1.7491300870261397,2.62947745107145,1
WBP2,2.6366867442001496,1.71315719951402,2.67575457744429,1
SDHC,2.2041586064486296,1.22973628978174,3.2158782428626798,1
AZU1,1.74829214496059,1.39745498019239,2.6529044636103998,1
CD68,1.9865558865115902,1.3633984628620601,2.5131045432322403,1
UBE2A,2.04755735898035,1.6461894348286799,2.2416849280175803,1
UBE2B,2.05585572325052,1.73909244694837,2.34132125275542,1
ARF1,2.11902804835613,1.54013697615374,2.27890158561,1
SH3BGRL3,2.07888506987125,1.37103875990948,2.32264167988008,1
ACTR2,2.0924788791280298,1.45318799497404,2.18746554001343,1
SYPL1,2.07544728389122,1.43708578585036,2.1903106567907398,1
COX5A,2.06466965137598,1.92598351814662,2.5709615829324104,1
RNASE2,2.11085222122592,1.80091522444718,2.543897477068,1
LAMTOR5,2.02710742254009,1.7972392375064201,2.55264773669315,1
RNASEK,2.14103966346754,1.6190818743659399,2.61920374484856,1
PDRG1,2.0641014643086897,1.56259383333077,2.54130017377366,1
LGALS9,1.63462525269629,1.3147552277938501,2.21823659805757,1
STMP1,1.54748679481248,1.19383208417207,2.3033679459692697,1
SRP14,1.48284972637532,1.21425650400091,2.28151945377918,1
LAPTM4A,1.83806557468878,1.5570445013829601,2.14430966595959,1
PAICS,1.85624001813823,1.4421000800977701,2.23654807467895,1
HADH,1.85855663911015,1.4460579147286998,2.2118393320442404,1
PSMB2,1.92796676599878,1.39390506616316,2.17467525626356,1
CHMP4B,1.83697730668091,1.38069746643357,2.1281565151068,1
DYNLRB1,1.82839859995933,1.09673666311162,2.2278456929425,1
UBE2I,1.81065499589539,1.27270673222416,2.21676318340255,1
CD81,1.9332812953227698,1.15474894020613,2.15597901847124,1
KLF3,2.05933886922629,1.13031338224441,2.05396376294275,1
ARL6IP5,1.88240038185343,1.6995133686885902,2.02954081426352,1
PDIA3,1.9289221343627803,1.6300681732651001,1.95575183548067,1
LDHA,1.9297033131723502,1.6438315316449699,1.92957491286462,1
TIMP1,1.9330911140679898,1.70732739213368,1.8102695112667502,1
AHCYL1,2.03673787218323,1.77628922649741,1.9329602074238998,1
PSMA3,2.0046121152011103,1.71340547103208,1.8991069030271501,1
CLU,1.7007479045137501,1.8687165976524198,2.01480422850564,1
GTF2H5,1.8038606974349698,1.80224857300033,1.87925936447022,1
MRPL15,1.7338771902424,1.6875772176551398,1.94043616537768,1
GPNMB,1.7330856924172198,1.7142955986472699,2.00219504258975,1
LIPA,1.6599731144055199,1.7077572193401998,1.9955321285149898,1
GNG2,1.7040253485539198,1.66218170193171,1.87538048915361,1
PMVK,1.7074076001461003,1.5808080119044299,1.91991972257204,1
KRTCAP2,1.53735815936281,1.71503551848733,2.25764344083524,1
TXN2,1.79107995621666,1.83287722671026,2.4146734683015,1
ANP32A,1.7415454169830098,1.75122955825008,2.3919142561068396,1
HMBS,1.7816312513227999,1.80334542578201,2.16961564788883,1
MRPL12,1.9649637591201201,1.7585007491639,2.2261660720121603,1
MSN,1.85475400485182,1.7051758332362499,2.22262124823663,1
MYD88,2.3096014844355,0.811651509975325,2.5134368025360097,1
SF3A2,2.41773843948156,0.8823416256898909,2.53407449331658,1
FOXJ2,2.10246085752289,0.7066748218611629,2.4584162916894905,1
KDELR1,2.08122128406899,1.00616710569699,2.48730565507858,1
PDLIM1,1.95979686772901,0.951738754118228,2.3999686374920097,1
CISH,2.08128089917969,0.965457509096435,2.38827798988573,1
LCP2,2.07938849479026,0.8626805327337141,2.38981183396271,1
JAZF1,2.21460295014501,1.5460333826629902,2.44168539560054,1
HEBP1,2.43115346337666,1.53410432053598,2.4188190231179703,1
HPRT1,2.39138553906841,1.4998677100056201,2.51785607255189,1
BAG3,2.43905214177229,1.4168759899219001,2.2852306901712502,1
PITPNA,2.4616124679979703,1.4755947068105102,2.16690477315646,1
SKAP2,2.6163284570614502,1.55817059892731,2.27845966513611,1
CBX5,2.53647718269175,1.74669213471423,2.28041022211201,1
FAM98B,2.48490972771835,1.6484807221138897,2.2970094752177097,1
CYB5R3,2.5367820490886603,1.6175544659940202,2.3513086971567403,1
CREB3L2,2.5505087060477702,1.02380641898964,2.24773914245886,1
MOB1B,2.51723877357802,1.16607182652717,2.32769137690309,1
ARHGAP1,2.2430352581952797,1.3328779674743898,2.4172630141298397,1
ANXA4,2.2773600337227298,1.35940959197686,2.22695294893461,1
BANF1,2.18659471453686,1.18747883247844,2.3551428250296897,1
ANPEP,2.38715921495134,1.08016284158009,2.3681480123013197,1
MAPK1IP1L,2.40004328756868,1.2035968277966298,2.5002276608960097,1
CD74,2.3367472573202797,1.19630886103013,2.47338955108191,1
ZFHX3,1.06477728732242,-0.006226628219660571,3.4913616369677998,3
ZFP36,0.596248116216655,-0.696157361258605,1.80935761417152,2
ATN1,1.46268798398915,-0.844809390274032,0.998943422960969,2
MMGT1,1.65543992144454,0.5584591709439239,0.351772115697253,2
SEC63,1.3602466977306398,0.565930139553922,0.37910614610277205,2
GDI1,1.30108089886143,0.411571679214835,0.383425660807601,2
HECTD3,1.33700655915962,0.36290834181164006,0.403183444176535,2
OGDH,1.16196803432647,0.28292696539753803,0.6231573676706221,2
GUSB,1.17427776238817,0.367735615198999,0.514427795429109,2
PIAS3,1.29692839307999,0.4557912247080789,0.749076740219755,2
TMEM214,1.2612418487983799,0.449426273394301,0.562793588267342,2
SCAMP2,1.31338096729836,0.603762773246792,0.825708555162424,2
NRM,1.27950872935311,0.674202983081517,0.8338985429597808,2
KPNA1,1.28185556275942,0.7329435247500942,0.7125769493834059,2
DSG2,1.22779238748176,0.713219108098771,0.5432564048150129,2
STAT3,1.20812264028822,0.7073644064678081,0.6477981388865109,2
TPX2,1.5201393916117099,0.665539168019727,0.555113940733021,2
GOLM1,1.36013366560343,0.820423214682438,0.615080348709785,2
RANBP10,1.51958453342367,0.7890576579534091,0.60345325657072,2
NXF1,1.50540267701684,0.806558820796169,0.709456664634499,2
MYH9,1.5374688352421,0.827310223660669,0.702848528807922,2
ZC3H13,1.5375101295106501,0.7937689621018129,0.8334060935540659,2
SRP68,1.41334131886617,0.793657716830256,0.7605675800568679,2
SMARCC2,1.44174665193771,0.5715501559175521,0.906033648083679,2
ZMAT3,1.4955459742545603,0.6487554505878671,0.7843440116875671,2
SNRNP200,1.55982508377447,0.515390348999446,0.7903032829592621,2
PRPF8,1.5230652554469601,0.45799731692371004,0.805619214079784,2
CDK2AP2,1.51643356962518,0.48066156616819106,0.8755615644294921,2
CARM1,1.5520822238274399,0.6924797964977659,1.04837192063161,2
ABHD4,1.52257789267131,0.657428096505026,0.9498870746244359,2
NCOA5,1.49832999004961,0.7238441672861321,0.9901970320441841,2
TAPBP,1.5686826528873101,0.510791382525536,1.06933711296614,2
KIF18B,1.5402012568886998,0.45488913195058295,0.9720017313650541,2
AP2B1,1.66917176661048,0.47100230447245894,0.735072951518748,2
ATP2A2,1.8705476550824198,0.508097345848326,0.9599050494555992,2
CRTC2,1.8589563841425498,0.435550755378963,0.936677881990989,2
CDC25B,1.24100894405681,0.342074211419029,1.20224042529578,2
ITGAX,1.1099034945555502,0.313245596470292,1.21505756615017,2
ZNF414,1.10287477602117,0.44347879309674704,1.2406214858125202,2
CCDC97,1.1139099168761102,0.38830816108048705,1.27885684439444,2
BAHD1,1.39458383073387,0.380224943949318,1.13512225038048,2
UBALD1,1.3812175775623199,0.441077098048243,1.26283823224802,2
TACC3,1.29768043745037,0.428967750509549,1.18992072974845,2
HNRNPUL1,1.3739162249015098,0.433934290817189,1.17752781010001,2
CBLL1,1.27145873297263,0.42702970193465895,1.11156572733208,2
SMAP2,1.2148290030348,0.457652876166886,1.0544974525902,2
NUMB,1.1398874512941002,0.465649012021121,1.03491076326317,2
GNL3L,1.135254892114,0.48474143542822795,1.06351282973867,2
KLF16,1.11287263064075,0.461340596777822,1.0626103971013001,2
BRCC3,1.28003506997028,0.585543058102448,1.09254284011898,2
CEP41,1.3414387189866201,0.597675378898989,1.1284081321952901,2
GNAS,1.3580432343687499,0.504036805515231,1.01511933361545,2
SORT1,1.26467985270632,0.5718156557006079,0.961454501696489,2
EMD,1.2734081693605,0.564041165975207,0.9025317369611869,2
MLLT1,1.2554236346767,0.595479810793857,0.9106720993446851,2
TM9SF4,1.25086389866504,0.48352077058409704,0.989604840523499,2
NOMO2,1.28348425625339,0.496332128899916,0.947147298134604,2
PNKD,1.53241748840626,0.275472109691438,1.1271092984059399,2
RUNX1,1.5255756727578202,0.165582452361078,1.17974268048122,2
CCDC86,1.6587229040724298,0.18290665704656,1.0284211369077,2
CC2D1A,1.70258087115998,0.320222850519507,1.0636558949205899,2
SERTAD2,1.4687480213718,0.203216399971833,1.04020729204392,2
SCAF1,1.4100467924151499,0.18209882107761896,0.986263191112539,2
PHF13,1.2513844042156,0.186189801470382,0.9582773912677741,2
GSE1,1.25045257166675,0.20104667483594,1.0365047787042099,2
TFCP2,1.3055574022527399,0.24271214483731304,1.09358972023853,2
PML,1.3338800108504199,0.356050591134195,1.0134246542476502,2
CIZ1,1.24468388432397,0.28747037715749296,1.0714041274923,2
RTN3,1.2529472469696499,0.33669699818882504,1.02841739624621,2
SLC7A5,1.37352043902526,0.277601088767504,0.775694009894646,2
FOXK1,1.3705163226383201,0.308354760657493,0.748035023309924,2
CPSF7,1.47139903577762,0.36617510509376205,0.931297642830158,2
RNF44,1.50271879045627,0.274527799453678,0.8689916036699,2
SRRM2,1.8347577927246397,0.0601604439343016,0.8105429625459909,2
GSK3A,1.7842079093943402,0.000872086259365026,1.10500069042597,2
MAP2K3,1.7349149231042702,-0.21268021346581897,1.1235546114127402,2
AHDC1,1.66926692558067,-0.28862688946353804,1.02044882129184,2
PRR12,1.6630362524981799,-0.273730824047987,1.06635628217627,2
SEC16A,1.30261067336873,-0.144482414651214,0.740150054792132,2
ZFP36L2,1.35855067599474,-0.141267476264701,0.956505708023564,2
YLPM1,1.2519550689955201,-0.12428148309934199,0.883643987759585,2
PAK4,1.5638974305688798,-0.131229070227553,0.9592039743015699,2
SETD1A,1.4985297493302,-0.402844292083235,0.893620264867296,2
MARK2,1.32961518784749,-0.24095743576621398,0.877843994284317,2
VAC14,1.47555907277849,-0.26118493022582395,0.845176796274905,2
RIPOR1,1.48622730266579,-0.256664630499324,1.2659918544594098,2
GATA2,1.2888808989944098,0.11974865390972302,1.19122356688972,2
BCL11A,1.3584500794885501,-0.026364223819054,1.18739965797758,2
PPDPF,1.17349142748486,-0.10537083823954599,1.16138744438225,2
SEMA4D,1.22359602114768,-0.196738437199656,1.0817526164981601,2
NCOR2,1.6546320881292298,-0.520138758115637,0.70573197779124,2
FBRS,1.55101696829353,-0.40666429607252397,0.638586305256437,2
FAM222B,1.56117876835411,-0.47400250148733397,0.5880254776898721,2
MEF2D,1.95778724602572,-0.288361436664229,0.4526680495624699,2
BICRA,1.72611932132335,-0.32017276619617996,0.41803159050987804,2
ZHX2,1.4492199021844798,0.153998574020933,0.316024143373028,2
TLE3,1.5342603936607502,0.0246354697793922,0.7066772969922841,2
NFATC1,1.5477637925715,0.145883182570669,0.7213490608561771,2
SUSD6,1.3998948825266,0.174673489656659,0.599578416749295,2
NUMBL,1.4721009268283898,0.13884830835207002,0.620219430851539,2
BAG6,1.27764723415748,0.115265891749408,0.5817425969355239,2
FYB1,1.2147350490180802,0.174306979463809,0.5601979925285079,2
ASAP1,1.29387748617152,-0.23606203376452103,0.46729556175355896,2
TAF3,1.4788787297816002,-0.11651425116924699,0.50108273101692,2
PTPN12,1.4196562648671698,-0.192082556926117,0.412965097489182,2
DAAM1,1.0983803596497301,0.0792546866184567,0.233932195327239,2
DGKA,1.1581762657743602,0.0563774019300996,0.319965933107039,2
NUP210,1.07049158418466,0.0588515618198838,0.323177633437548,2
