GeneGroup,TIS,ER,size
autophagyRelated,87.0,0.016717349267983767,32
CytoRPList,94.56944444444444,0.11985790237053529,72
cytoskeleton,88.74193548387096,0.08521757444436835,125
erythroid,92.87671232876713,0.28966962581714584,74
Fe_Scluster_JM,88.66037735849056,-0.004270730963819122,54
genesRegulatingIron_JM,88.8768115942029,0.09743529060444789,140
HistoneList,91.56603773584905,0.19221067106658576,90
lysosome,91.72357723577235,0.1694955354242454,123
mitoComplexAll,97.58666666666667,0.10629159254159982,75
MitoComplexI,99.10810810810811,0.1287624987078263,37
MitoComplexII,103.0,0.12241530584202819,4
MitoComplexIII,92.33333333333333,0.10354971557624443,9
MitoComplexIV,95.66666666666667,0.19412152128685894,15
MitoComplexV,97.88888888888889,0.0056477009739627475,18
MitoRPList,99.32894736842105,0.08158319770147417,76
proteasome,87.73809523809524,-0.012304881538458734,43
spliceosome,92.68345323741008,0.002386499248647469,139
