GeneGroup,TIS,RNA,size
autophagyRelated,87.0,1.4234893965248503,32
CytoRPList,94.56944444444444,-0.5766961937661843,72
cytoskeleton,88.74193548387096,-0.45424080027150837,125
erythroid,92.87671232876713,3.6808311254772574,74
Fe_Scluster_JM,88.66037735849056,0.5570084559838788,54
genesRegulatingIron_JM,88.8768115942029,0.9845889080157596,140
HistoneList,91.56603773584905,1.9601786342030982,90
lysosome,91.72357723577235,-0.6872557837797528,123
mitoComplexAll,97.58666666666667,0.07798720478003747,75
MitoComplexI,99.10810810810811,0.18048654808297065,37
MitoComplexII,103.0,-0.0018459613062806746,4
MitoComplexIII,92.33333333333333,0.11137503590332111,9
MitoComplexIV,95.66666666666667,-0.06007901954078896,15
MitoComplexV,97.88888888888889,-0.06144250684042894,18
MitoRPList,99.32894736842105,-0.10559995679380574,76
proteasome,87.73809523809524,0.41333685729260305,43
spliceosome,92.68345323741008,0.20369940610243623,139
