GeneGroup,TIS,ER,size
autophagyRelated,87.0,-0.02100075183374043,32
CytoRPList,94.56944444444444,0.14840357619553354,72
cytoskeleton,88.74193548387096,-0.01592824514650306,125
erythroid,92.87671232876713,0.13390329497919268,74
Fe_Scluster_JM,88.66037735849056,-0.1889792795124777,54
genesRegulatingIron_JM,88.8768115942029,-0.045735650004651296,140
HistoneList,91.56603773584905,0.7085680169611883,90
lysosome,91.72357723577235,-0.093942588854687,123
mitoComplexAll,97.58666666666667,0.0476430838276117,75
MitoComplexI,99.10810810810811,0.09900770076837381,37
MitoComplexII,103.0,-0.2402832123333333,4
MitoComplexIII,92.33333333333333,-0.03637699273188244,9
MitoComplexIV,95.66666666666667,0.14795552338139367,15
MitoComplexV,97.88888888888889,-0.024844623695151457,18
MitoRPList,99.32894736842105,-0.010867823788432382,76
proteasome,87.73809523809524,-0.15239346483868263,43
spliceosome,92.68345323741008,-0.0026736414793435016,139
