GeneGroup,TIS,TE,size
autophagyRelated,87.0,-0.28402054371652286,32
CytoRPList,94.56944444444444,-1.3263808352099062,72
cytoskeleton,88.74193548387096,0.4965925515342603,125
erythroid,92.87671232876713,0.021097523541538217,74
Fe_Scluster_JM,88.66037735849056,-0.0027336159567405414,54
genesRegulatingIron_JM,88.8768115942029,0.20124795693648365,140
HistoneList,91.56603773584905,-0.4755318316606749,90
lysosome,91.72357723577235,0.5825687413781108,123
mitoComplexAll,97.58666666666667,0.5056697336964148,75
MitoComplexI,99.10810810810811,0.42106789312434895,37
MitoComplexII,103.0,1.1383440833847402,4
MitoComplexIII,92.33333333333333,0.06037367267452923,9
MitoComplexIV,95.66666666666667,0.5958887234845053,15
MitoComplexV,97.88888888888889,0.7558531373932064,18
MitoRPList,99.32894736842105,0.39281280895722326,76
proteasome,87.73809523809524,0.7126178989763577,43
spliceosome,92.68345323741008,0.46032382610842787,139
