GeneGroup,TIS,RNA,size
autophagyRelated,87.0,13.980797982009998,32
CytoRPList,94.56944444444444,344.04180502417574,72
cytoskeleton,88.74193548387096,33.32120336157778,125
erythroid,92.87671232876713,54.748283031887524,74
Fe_Scluster_JM,88.66037735849056,17.25641880801554,54
genesRegulatingIron_JM,88.8768115942029,45.72135621219798,140
HistoneList,91.56603773584905,557.4285209623068,90
lysosome,91.72357723577235,40.80823596307468,123
mitoComplexAll,97.58666666666667,75.18361320343506,75
MitoComplexI,99.10810810810811,53.62515447266782,37
MitoComplexII,103.0,20.78022505321,4
MitoComplexIII,92.33333333333333,91.82447726058889,9
MitoComplexIV,95.66666666666667,111.88223396077855,15
MitoComplexV,97.88888888888889,84.49378448498078,18
MitoRPList,99.32894736842105,27.94188321268709,76
proteasome,87.73809523809524,53.8426815574167,43
spliceosome,92.68345323741008,31.892767565769965,139
