GeneGroup,TIS,ER,size
autophagyRelated,87.0,0.0291183446403848,32
CytoRPList,94.56944444444444,0.06802935964236156,72
cytoskeleton,88.74193548387096,-0.018777725498772747,125
erythroid,92.87671232876713,0.06747932622593604,74
Fe_Scluster_JM,88.66037735849056,-0.05035065028690206,54
genesRegulatingIron_JM,88.8768115942029,0.013014844096842068,140
HistoneList,91.56603773584905,0.16606943702082286,90
lysosome,91.72357723577235,0.024924783672539034,123
mitoComplexAll,97.58666666666667,0.010680236940267209,75
MitoComplexI,99.10810810810811,0.01635544324521077,37
MitoComplexII,103.0,0.002863175053556649,4
MitoComplexIII,92.33333333333333,0.00598442353611211,9
MitoComplexIV,95.66666666666667,0.10178054329890374,15
MitoComplexV,97.88888888888889,-0.05106076213425082,18
MitoRPList,99.32894736842105,0.02425165586396484,76
proteasome,87.73809523809524,-0.05016616036176756,43
spliceosome,92.68345323741008,-0.028123808767362354,139
