autophagyRelated,"NM_014683,NM_001278712,NM_007285,NM_021934,NM_007278,NM_001077198,NM_017983,NM_003565,NM_030803,NM_014924,NM_001012994,NM_001278299,NM_015104,NM_001085481,NM_178326,NM_032514,NM_001349232,NM_004707,NM_001281504,NM_003766,NM_004849,NM_031412,NM_014781,NM_001318766,NM_022818,NM_018036,NM_003794,NM_001321287,NM_032852,NM_001346315,NM_001131028,NM_001004343"
CytoRPList,"NM_001030001,NM_001017,NM_002952,NM_000967,NM_001003,NM_001020,NM_001098577,NM_001019,NM_000980,NM_001099645,NM_001317782,NM_001007,NM_001024,NM_001142285,NM_001304288,NM_001034996,NM_001015,NM_000975,NM_001260506,NM_001321702,NM_001253384,NM_001317980,NM_000992,NM_000998,NM_000979,NM_001146227,NM_001316311,NM_001008,NM_000972,NM_001016,NM_001001,NM_022551,NM_001025,NM_000997,NM_002954,NM_001025071,NM_001011,NM_006098,NM_012423,NM_001012,NM_000984,NM_001320141,NM_015920,NM_000989,NM_000969,NM_000976,NM_007104,NM_001349922,NM_001004,NM_001997,NM_033251,NM_001136134,NM_033625,NM_001028,NM_000990,NM_198486,NM_001024921,NM_001321485,NM_001308226,NM_007209,NM_001303625,NM_001315530,NM_000999,NM_015414,NM_000968,NM_053275,NM_001009,NM_001010,NM_000986,NM_001330200,NM_001007074,NM_000978"
cytoskeleton,"NM_001278556,NM_001185095,NM_003941,NM_006135,NM_021019,NM_006409,NM_001024858,NM_001747,NM_012120,NM_006686,NM_001256041,NM_001130065,NM_001242397,NM_006449,NM_001024660,NM_001320642,NM_014458,NM_001306147,NM_001164317,NM_003128,NM_002473,NM_001256426,NM_001290294,NM_006640,NM_003379,NM_005718,NM_001011553,NM_001172700,NM_020717,NM_004938,NM_003290,NM_001270439,NM_001318245,NM_001130438,NM_006946,NM_001278344,NM_000258,NM_001002841,NM_006790,NM_173477,NM_001282971,NM_001110556,NM_001256012,NM_001649,NM_001165928,NM_003088,NM_020971,NM_139166,NM_003688,NM_001353053,NM_005897,NM_003803,NM_001330351,NM_001077182,NM_001276347,NM_001003940,NM_001301227,NM_001130083,NM_006148,NM_003931,NM_001166108,NM_152862,NM_003370,NM_005721,NM_001350299,NM_001114086,NM_001271208,NM_177977,NM_001206541,NM_006633,NM_000297,NM_001276471,NM_001270771,NM_080677,NM_000368,NM_004140,NM_001080779,NM_006990,NM_006136,NM_015873,NM_000257,NM_001199629,NM_013943,NM_001324459,NM_005720,NM_015000,NM_005736,NM_005159,NM_003280,NM_007059,NM_003870,NM_024348,NM_005735,NM_001100,NM_004252,NM_004999,NM_000377,NM_018704,NM_001113490,NM_002356,NM_007286,NM_001635,NM_001207018,NM_001317185,NM_006576,NM_003126,NM_025248,NM_021957,NM_001113546,NM_152263,NM_001242932,NM_006097,NM_001193333,NM_203342,NM_001077269,NM_007246,NM_018685,NM_002471,NM_001351224,NM_001005386,NM_001348067,NM_001322882,NM_031475,NM_002477,NM_017433"
erythroid,"NM_001130173,NM_001001548,NM_000032,NM_001142446,NM_001728,NM_001003945,NM_000610,NM_005332,NM_002145,NM_001003938,NM_005574,NM_001324039,NM_003234,NM_000713,NM_001012515,NM_001024858,NM_001322194,NM_139276,NM_005197,NM_000119,NM_183013,NM_000517,NM_001018077,NM_005809,NM_001143780,NM_005689,NM_001145260,NM_000146,NM_001530,NM_001978,NM_006563,NM_000518,NM_018955,NM_001261461,NM_001243186,NM_000558,NM_001128830,NM_002158,NM_000519,NM_003126,NM_198682,NM_001455,NM_006084,NM_016633,NM_199186,NM_001712,NM_000184,NM_000190,NM_006516,NM_002032,NM_001024630,NM_001291780,NM_203342,NM_003403,NM_012181,NM_015397,NM_002049,NM_001304382,NM_004031,NM_000342,NM_000121,NM_001165,NM_007315,NM_001973,NM_001317812,NM_000799,NM_017508,NM_138578,NM_000559,NM_014858,NM_003189,NM_002099,NM_001256584,NM_001067"
Fe_Scluster_JM,"NM_018464,NM_032043,NM_000663,NM_020313,NM_006859,NM_001284501,NM_001159,NM_001031827,NM_001282488,NM_003000,NM_015700,NM_001012515,NM_025152,NM_016066,NM_001308632,NM_001283009,NM_006231,NM_004109,NM_000110,NM_017774,NM_001278352,NM_002940,NM_001321980,NM_005006,NM_002528,NM_002703,NM_024407,NM_001330360,NM_002496,NM_007103,NM_005943,NM_001166159,NM_080657,NM_018264,NM_001320942,NM_001146288,NM_002484,NM_001286431,NM_000379,NM_001080449,NM_001128425,NM_021074,NM_001346946,NM_016408,NM_001131065,NM_001098,NM_016417,NM_001008388,NM_018346,NM_006003,NM_001136498,NM_000400,NM_030653,NM_004453"
genesRegulatingIron_JM,"NM_018464,NM_004218,NM_213649,NM_001029874,NM_020313,NM_021100,NM_003227,NM_012463,NM_130463,NM_001031827,NM_015700,NM_172002,NM_030971,NM_001694,NM_001145260,NM_006156,NM_000146,NM_053046,NM_012161,NM_181425,NM_021009,NM_173470,NM_001321122,NM_145230,NM_004134,NM_000402,NM_016417,NM_000052,NM_001317812,NM_138737,NM_021175,NM_001025300,NM_052893,NM_001205315,NM_020139,NM_007166,NM_001198909,NM_001174129,NM_001012515,NM_001244944,NM_001321118,NM_080669,NM_002499,NM_001278352,NM_001692,NM_152565,NM_133326,NM_018955,NM_018264,NM_024843,NM_173833,NM_001005361,NM_022051,NM_017791,NM_014585,NM_020632,NM_001008388,NM_001530,NM_030940,NM_014053,NM_001329674,NM_033158,NM_000454,NM_000032,NM_004888,NM_001690,NM_003234,NM_001348985,NM_001322977,NM_005929,NM_001718,NM_001127208,NM_001354703,NM_004109,NM_003945,NM_001696,NM_017584,NM_001286270,NM_015994,NM_001695,NM_015941,NM_016609,NM_004299,NM_016204,NM_002467,NM_006930,NM_022073,NM_000578,NM_001098672,NM_001430,NM_002133,NM_000613,NM_001098,NM_012449,NM_001081,NM_001164841,NM_014413,NM_020533,NM_001282291,NM_001693,NM_031894,NM_001183,NM_000412,NM_004691,NM_012089,NM_001003945,NM_001318063,NM_030571,NM_022089,NM_001294333,NM_182915,NM_177478,NM_001039362,NM_001143780,NM_005689,NM_001321980,NM_001291832,NM_000410,NM_152464,NM_001039182,NM_001350989,NM_002855,NM_005359,NM_001320942,NM_001258012,NM_194279,NM_000096,NM_003592,NM_004048,NM_002032,NM_001320042,NM_001351660,NM_001330404,NM_005564,NM_001130020,NM_153609,NM_000633,NM_001136498,NM_017842,NM_001321018"
HistoneList,"NM_003537,NM_003540,NM_138635,NM_001002916,NM_138720,NM_175065,NM_001355409,NM_002106,NM_005318,NM_021064,NM_003509,NM_175054,NM_080596,NM_003547,NM_001123375,NM_003528,NM_001017990,NM_002107,NM_021052,NM_003526,NM_001005464,NM_021065,NM_021018,NM_003548,NM_080593,NM_138610,NM_005320,NM_003495,NM_003532,NM_005319,NM_003544,NM_003521,NM_003517,NM_003538,NM_001017991,NM_003524,NM_021062,NM_003545,NM_177925,NM_005325,NM_001161334,NM_003493,NM_003516,NM_021059,NM_003546,NM_033445,NM_003535,NM_021066,NM_001013699,NM_001164416,NM_153833,NM_003510,NM_003541,NM_003530,NM_170745,NM_175055,NM_005321,NM_005322,NM_003522,NM_017445,NM_003534,NM_003525,NM_003523,NM_080720,NM_003529,NM_003520,NM_003533,NM_003513,NM_005323,NM_001040874,NM_003531,NM_003527,NM_003514,NM_003536,NM_021058,NM_006026,NM_021968,NM_170610,NM_181788,NM_005324,NM_003512,NM_002105,NM_003543,NM_003519,NM_003539,NM_001034077,NM_003542,NM_018649,NM_003511,NM_003518"
lysosome,"NM_002076,NM_001134296,NM_002294,NM_012463,NM_000153,NM_032520,NM_000405,NM_001694,NM_001320263,NM_000263,NM_014713,NM_003793,NM_001323544,NM_000876,NM_000046,NM_017907,NM_007098,NM_014398,NM_001172688,NM_000169,NM_001300887,NM_152419,NM_005506,NM_000310,NM_015044,NM_004851,NM_001005741,NM_001319137,NM_001198909,NM_001174129,NM_001252127,NM_001352910,NM_001911,NM_001111035,NM_001030007,NM_152565,NM_001909,NM_019625,NM_000262,NM_024312,NM_001317040,NM_000147,NM_007097,NM_000152,NM_001288653,NM_004722,NM_001318093,NM_001334,NM_005829,NM_001257389,NM_020632,NM_001283,NM_006493,NM_001261826,NM_001008530,NM_177924,NM_021233,NM_001336,NM_000181,NM_001690,NM_001127,NM_000434,NM_000202,NM_000396,NM_005561,NM_005155,NM_015941,NM_001292004,NM_152778,NM_015994,NM_001251,NM_006016,NM_001318825,NM_007096,NM_182760,NM_012320,NM_000578,NM_001352921,NM_001042465,NM_000487,NM_000203,NM_006432,NM_020533,NM_004937,NM_005765,NM_001254728,NM_001183,NM_153281,NM_004691,NM_001910,NM_001348440,NM_002355,NM_018407,NM_001610,NM_147780,NM_001272071,NM_001606,NM_004079,NM_001294333,NM_001291641,NM_002959,NM_148170,NM_016256,NM_001318088,NM_000027,NM_001085382,NM_006762,NM_000528,NM_012434,NM_001127695,NM_001039569,NM_001375,NM_005908,NM_001042432,NM_001271769,NM_000271,NM_001130524,NM_006594,NM_001130020,NM_000235,NM_004901,NM_001351059,NM_001335"
mitoComplexAll,"NM_002490,NM_001168331,NM_001297565,NM_004374,NM_001687,NM_006356,NM_005001,NM_001867,NM_003000,NM_014402,NM_005002,NM_001865,NM_001001973,NM_003365,NM_018838,NM_002495,NM_004146,NM_006476,NM_004542,NM_004551,NM_004074,NM_004168,NM_001863,NM_007100,NM_005175,NM_001257335,NM_178191,NM_001330269,NM_004552,NM_001190329,NM_005005,NM_002492,NM_005006,NM_005003,NM_024407,NM_001184986,NM_002496,NM_007103,NM_001127393,NM_001166159,NM_006886,NM_001254752,NM_001697,NM_001320267,NM_001284367,NM_004545,NM_004553,NM_004544,NM_001193375,NM_003366,NM_021074,NM_001862,NM_004541,NM_001916,NM_001185012,NM_006830,NM_004546,NM_001257102,NM_001003684,NM_001866,NM_019056,NM_001318195,NM_021075,NM_004548,NM_001686,NM_004255,NM_001291304,NM_015965,NM_006003,NM_001206427,NM_001688,NM_001318794,NM_004373,NM_003001,NM_002493"
MitoComplexI,"NM_002490,NM_001168331,NM_005001,NM_004549,NM_005002,NM_018838,NM_002495,NM_004146,NM_004542,NM_004551,NM_004552,NM_005005,NM_005006,NM_002492,NM_005003,NM_024407,NM_001184986,NM_002496,NM_007103,NM_001166159,NM_001284367,NM_004544,NM_004545,NM_004553,NM_001193375,NM_021074,NM_004541,NM_001185012,NM_004546,NM_001257102,NM_019056,NM_001318195,NM_021075,NM_004548,NM_001291304,NM_015965,NM_002493"
