Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006413~translational initiation	29	7.055961070560001	2.3661376003999997e-12	NM_003754, NM_003753, NM_001260506, NM_001021, NM_032025, NM_001034996, NM_000969, NM_001017, NM_001019, NM_006360, NM_001142285, NM_001282958, NM_001568, NM_001330200, NM_000986, NM_001415, NM_001303625, NM_001004, NM_001008, NM_001317782, NM_001028, NM_000999, NM_000978, NM_001025, NM_001024, NM_139242, NM_001316311, NM_000990, NM_000997	364	115	7039	4.8765169613	3.15402104434e-09	3.15402104434e-09	3.87523346745e-09
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	34	8.27250608273	1.61552666554e-10	NM_001282328, NM_001260506, NM_001021, NM_001034996, NM_000969, NM_001017, NM_001019, NM_024805, NM_001320309, NM_001142285, NM_001330200, NM_000986, NM_001436, NM_015703, NM_001303625, NM_018285, NM_001004, NM_006392, NM_004704, NM_001008, NM_024100, NM_001317782, NM_001028, NM_000999, NM_000978, NM_001025, NM_001024, NM_006649, NM_001316311, NM_000990, NM_006993, NM_006627, NM_015201, NM_000997	364	183	7039	3.59283612562	2.15349672761e-07	1.07674842154e-07	2.6459237023600004e-07
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	24	5.839416058389999	9.67845354115e-10	NM_001260506, NM_001021, NM_001303625, NM_001004, NM_001034996, NM_001008, NM_001317782, NM_000969, NM_001017, NM_001019, NM_001028, NM_018149, NM_000999, NM_000978, NM_001025, NM_001024, NM_001316311, NM_000990, NM_001142285, NM_001568, NM_001330200, NM_001319292, NM_000997, NM_000986	364	101	7039	4.5951474268300005	1.29013703254e-06	4.30045862476e-07	1.5851456369700001e-06
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	21	5.109489051090001	1.33010424855e-09	NM_001260506, NM_001021, NM_001303625, NM_001004, NM_001034996, NM_001008, NM_001317782, NM_000969, NM_001017, NM_001019, NM_001028, NM_000999, NM_000978, NM_001025, NM_001024, NM_001316311, NM_000990, NM_001142285, NM_001330200, NM_000997, NM_000986	364	78	7039	5.20636094675	1.7730273932400002e-06	4.4325714298999995e-07	2.1784564263599997e-06
GOTERM_BP_DIRECT	GO:0006412~translation	32	7.78588807786	3.87324003163e-09	NM_001260506, NM_003705, NM_213611, NM_032477, NM_001021, NM_001034996, NM_000387, NM_000969, NM_001017, NM_001099645, NM_001019, NM_021134, NM_001160210, NM_001142285, NM_001330200, NM_030780, NM_000986, NM_001303625, NM_001004, NM_001008, NM_001317782, NM_001028, NM_000999, NM_000978, NM_001025, NM_031902, NM_001930, NM_001024, NM_001321972, NM_001316311, NM_000990, NM_000997	364	185	7039	3.34493614494	5.16301568421e-06	1.0326052694e-06	6.34362646856e-06
GOTERM_BP_DIRECT	GO:0019083~viral transcription	22	5.352798053530001	7.645854944050001e-09	NM_001260506, NM_001021, NM_001303625, NM_001004, NM_001034996, NM_001008, NM_001317782, NM_000969, NM_001017, NM_001019, NM_001028, NM_000999, NM_000978, NM_001025, NM_001024, NM_001316311, NM_000990, NM_007342, NM_001142285, NM_001330200, NM_000997, NM_000986	364	94	7039	4.525894318450001	1.01918727488e-05	1.69865267163e-06	1.25224477898e-05
GOTERM_BP_DIRECT	GO:0006335~DNA replication-dependent nucleosome assembly	8	1.9464720194599998	0.000422364134964	NM_003533, NM_003542, NM_003495, NM_003531, NM_003537, NM_003546, NM_024658, NM_003539	364	28	7039	5.525117739400001	0.430576209497	0.0772963688418	0.689509721786
GOTERM_BP_DIRECT	GO:0032200~telomere organization	7	1.7031630170299998	0.0006653038499600001	NM_003533, NM_003542, NM_003495, NM_003531, NM_003537, NM_003546, NM_003539	364	22	7039	6.152972027969999	0.588170222033	0.104965618991	1.08408412335
GOTERM_BP_DIRECT	GO:0000183~chromatin silencing at rDNA	7	1.7031630170299998	0.0025841131524899997	NM_003533, NM_003542, NM_003495, NM_003531, NM_003537, NM_003546, NM_003539	364	28	7039	4.83447802198	0.9682251811220001	0.318344745057	4.1492230373900005
GOTERM_BP_DIRECT	GO:0051290~protein heterotetramerization	7	1.7031630170299998	0.0061128656615700005	NM_003533, NM_003542, NM_003495, NM_003531, NM_003537, NM_003546, NM_003539	364	33	7039	4.10198135198	0.99971795871	0.558397758383	9.554642808239999
