,Gene,AccNum,seqlogo_logL_L24_t1,seqlogo_logL_S15_t0,seqlogo_logL_S15_t1,TIS,MFE_fpUTR_normed,MFE_fpUTRandORF_normed
0,MYO1D,NM_015194,-14.542486125137456,-15.117325988533793,-15.447781534917308,91.0,-0.5226578073089699,-0.5040897755610972
1,PPP1R14B,NM_138689,-14.550682892341635,-15.397988587696595,-15.667536905158679,91.0,-0.6441044776119403,-0.6220380434782609
2,AGFG1,NM_001135187,-14.663012077315555,-15.412760981075325,-15.725219897788026,113.0,-0.6664399999999999,-0.5982285714285714
3,LAMP1,NM_005561,-14.668465927998021,-15.438870912221999,-15.744788374172876,98.0,-0.5197153024911032,-0.5090288713910761
4,AFG3L2,NM_006796,-14.691182954282253,-15.474772835251105,-15.75366385185325,113.0,-0.560618556701031,-0.6206462585034014
5,LRRC47,NM_020710,-14.708471262611717,-15.519685522674116,-15.782989873387947,91.0,-0.4332142857142857,-0.5003125
6,E2F4,NM_001950,-14.745426969134149,-15.524504809110065,-15.868101989880607,97.0,-0.534920634920635,-0.5640490797546012
7,N4BP1,NM_153029,-14.773826443655846,-15.54892994866138,-15.876139241256835,97.0,-0.640168776371308,-0.6053115727002968
8,FBXW4,NM_022039,-14.78257923476544,-15.569549235864114,-15.892405829925474,111.0,-0.2728612716763006,-0.3623542600896861
9,FIP1L1,NM_030917,-14.790776001969617,-15.613419328542399,-15.929276983211697,83.0,-0.4386559139784946,-0.45402097902097904
10,CHKB,NM_005198,-14.791844949158525,-15.62040034585357,-15.935963558550766,98.0,-0.4558715596330275,-0.4794968553459119
11,CCDC6,NM_005436,-14.845333634109508,-15.633629782023338,-15.937602656482095,113.0,-0.41030172413793103,-0.4505120481927711
12,DENND4B,NM_014856,-14.84711775590301,-15.644076762849544,-15.948136150544606,102.0,-0.6270573566084787,-0.5877844311377246
13,METTL17,NM_001029991,-14.889008697612171,-15.670166473612412,-15.961285260689328,103.0,-0.3179695431472081,-0.38892255892255895
14,RASA2,NM_001303246,-14.903113303793715,-15.692631212614295,-15.984544999145156,92.0,-0.40891891891891896,-0.5437226277372262
15,UBQLN4,NM_020131,-14.920645782555356,-15.721388742750456,-16.006632357226213,104.0,-0.3634677419354839,-0.4462946428571429
16,KHDC4,NM_014949,-14.968570520448356,-15.73020249317894,-16.013896367698955,75.0,-0.22478260869565214,-0.4997041420118343
17,BICD2,NM_001003800,-14.978620856301855,-15.74124051130319,-16.024409597709084,74.0,-0.4392982456140351,-0.5097452229299363
18,GNPTG,NM_032520,-14.998423483598035,-15.759778632302101,-16.056541908432926,97.0,-0.5391044776119402,-0.5685628742514971
19,SF1,NM_004630,-15.081311143403804,-15.792692787178323,-16.05714290761928,91.0,-0.4125884955752213,-0.3932427536231884
20,TRIM8,NM_030912,-15.089679393074322,-15.80451452614349,-16.061028542361267,91.0,-0.6571544715447154,-0.5124215246636771
21,GOPC,NM_020399,-15.103783999255864,-15.844336020330164,-16.07060116393076,70.0,-0.4809448818897638,-0.5034745762711864
22,AEBP2,NM_153207,-15.103783999255864,-15.845107923108745,-16.074571571933355,91.0,-0.1153846153846154,-0.483015873015873
23,GTF3C6,NM_138408,-15.110752668571957,-15.863788708862055,-16.093285535949274,102.0,-0.5076190476190476,-0.4541612903225806
