AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	160.0	16	7.0	176.0	109.0	4.0	19.0
NM_001142964	C22orf46	8.0	0	0.0	8.0	4.0	0.0	4.0
NM_015475	FAM98A	932.0	83	0.0	1015.0	862.0	41.0	5.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	6.0	0	0.0	6.0	6.0	0.0	0.0
NM_032773	LRCH3	349.0	101	1.0	450.0	413.0	1.0	8.0
NM_001195076	C19orf81	52.0	0	0.0	52.0	44.0	0.0	8.0
NM_001350073	ZNF692	189.0	25	8.0	214.0	89.0	118.0	2.0
NM_001005291	SREBF1	4381.0	825	12.0	5206.0	5032.0	60.0	15.0
NM_138803	CCDC148	0.0	0	1.0	0.0	0.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	126.0	21	10.0	147.0	112.0	12.0	0.0
NM_018210	NAXD	122.0	18	2.0	140.0	91.0	45.0	4.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	1138.0	89	12.0	1227.0	763.0	434.0	13.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	249.0	25	0.0	274.0	165.0	99.0	9.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	14.0	4	0.0	18.0	13.0	5.0	0.0
NM_003772	JRKL	116.0	0	0.0	116.0	77.0	28.0	0.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	53.0	2	0.0	55.0	38.0	13.0	2.0
NM_001114086	CLIC5	0.0	0	0.0	0.0	0.0	0.0	0.0
