AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	88.0	15	6.0	103.0	74.0	0.0	11.0
NM_001142964	C22orf46	9.0	1	0.0	10.0	6.0	0.0	4.0
NM_015475	FAM98A	392.0	42	0.0	434.0	351.0	13.0	0.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032773	LRCH3	344.0	70	2.0	414.0	390.0	1.0	6.0
NM_001195076	C19orf81	9.0	0	0.0	9.0	5.0	0.0	4.0
NM_001350073	ZNF692	49.0	7	2.0	56.0	22.0	31.0	0.0
NM_001005291	SREBF1	1819.0	301	5.0	2120.0	2043.0	31.0	3.0
NM_138803	CCDC148	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	160.0	43	15.0	203.0	162.0	7.0	5.0
NM_018210	NAXD	54.0	6	1.0	60.0	44.0	11.0	5.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	1342.0	85	12.0	1427.0	1147.0	226.0	13.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	179.0	23	0.0	202.0	129.0	55.0	12.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	19.0	6	1.0	25.0	21.0	3.0	0.0
NM_003772	JRKL	159.0	0	0.0	159.0	120.0	27.0	1.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	36.0	1	0.0	37.0	31.0	6.0	0.0
NM_001114086	CLIC5	5.0	0	1.0	5.0	4.0	0.0	1.0
NM_001204375	NPR3	102.0	6	3.0	108.0	99.0	3.0	2.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	0.0	4	0.0	4.0	3.0	0.0	0.0
NM_194460	RNF126	94.0	11	3.0	105.0	68.0	5.0	6.0
NM_001031743	CFAP206	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001329941	LIPT2	43.0	0	0.0	43.0	31.0	0.0	9.0
