AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	396.0	30	6.0	426.0	184.0	15.0	17.0
NM_001142964	C22orf46	9.0	2	0.0	11.0	7.0	0.0	4.0
NM_015475	FAM98A	1256.0	112	0.0	1368.0	840.0	186.0	7.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	15.0	0	1.0	15.0	15.0	0.0	0.0
NM_032773	LRCH3	803.0	83	1.0	886.0	582.0	6.0	13.0
NM_001195076	C19orf81	110.0	0	0.0	110.0	105.0	0.0	5.0
NM_001350073	ZNF692	284.0	20	23.0	304.0	68.0	228.0	0.0
NM_001005291	SREBF1	5796.0	1064	29.0	6860.0	6130.0	298.0	19.0
NM_138803	CCDC148	3.0	0	0.0	3.0	0.0	3.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	209.0	17	34.0	226.0	105.0	68.0	0.0
NM_018210	NAXD	205.0	21	3.0	226.0	101.0	118.0	6.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	2800.0	242	26.0	3042.0	1121.0	1855.0	12.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	424.0	24	1.0	448.0	126.0	315.0	5.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	37.0	4	0.0	41.0	16.0	23.0	0.0
NM_003772	JRKL	204.0	0	0.0	204.0	61.0	99.0	2.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	101.0	2	1.0	103.0	35.0	65.0	1.0
NM_001114086	CLIC5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001204375	NPR3	4.0	3	0.0	7.0	6.0	0.0	0.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	7.0	61	0.0	68.0	5.0	7.0	0.0
NM_194460	RNF126	765.0	46	6.0	811.0	240.0	75.0	5.0
NM_001031743	CFAP206	2.0	0	0.0	2.0	1.0	1.0	0.0
NM_001329941	LIPT2	62.0	0	0.0	62.0	37.0	0.0	12.0
NM_002178	IGFBP6	3.0	0	0.0	3.0	2.0	1.0	0.0
NM_001145297	EXOC7	779.0	116	7.0	895.0	628.0	44.0	5.0
NM_152559	METTL27	15.0	10	0.0	25.0	6.0	10.0	1.0
NM_001300901	TCEAL4	279.0	0	69.0	279.0	276.0	0.0	3.0
NM_181708	BCDIN3D	143.0	2	0.0	145.0	80.0	1.0	2.0
NM_006012	CLPP	1082.0	177	8.0	1259.0	1052.0	33.0	5.0
NM_006794	GPR75	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001206427	ATP5MD	2817.0	193	126.0	3010.0	110.0	1383.0	12.0
NM_001136050	DHRS1	130.0	16	0.0	146.0	50.0	74.0	2.0
NM_000797	DRD4	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014975	MAST1	31.0	3	0.0	34.0	26.0	7.0	0.0
NM_001270616	PROX1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000417	IL2RA	99.0	9	1.0	108.0	23.0	72.0	3.0
NM_001731	BTG1	531.0	0	1.0	531.0	77.0	432.0	6.0
NM_001002231	KLK2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001283009	RTEL1	586.0	44	12.0	630.0	279.0	343.0	1.0
NM_001001918	OR14C36	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_053042	ZNF518B	579.0	57	28.0	636.0	263.0	360.0	6.0
NM_001324321	MAST2	122.0	13	5.0	135.0	135.0	0.0	0.0
NM_005958	MTNR1A	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002700	POU4F3	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014587	SOX8	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001286076	RPA2	1398.0	313	1.0	1711.0	411.0	1235.0	17.0
NM_001321449	IZUMO2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_006594	AP4B1	607.0	31	51.0	638.0	370.0	143.0	0.0
NM_001330332	CD70	515.0	85	86.0	600.0	350.0	122.0	9.0
NM_004288	CYTIP	122.0	6	0.0	128.0	56.0	44.0	0.0
NM_001281432	ZNHIT3	850.0	31	120.0	881.0	127.0	13.0	2.0
NM_001170569	CXorf56	262.0	3	1.0	265.0	59.0	204.0	2.0
NM_014429	MORC1	6.0	1	5.0	7.0	7.0	0.0	0.0
NM_021025	TLX3	16.0	1	0.0	17.0	9.0	6.0	1.0
NM_031438	NUDT12	386.0	55	2.0	441.0	204.0	181.0	6.0
NM_014297	ETHE1	436.0	21	0.0	457.0	141.0	12.0	0.0
NM_001001917	OR56A1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001321245	PLSCR5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_021133	RNASEL	415.0	102	0.0	517.0	229.0	238.0	0.0
