AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	421.0	16	54.0	437.0	123.0	19.0	284.0
NM_001142964	C22orf46	168.0	0	5.0	168.0	28.0	1.0	137.0
NM_015475	FAM98A	525.0	49	109.0	574.0	284.0	25.0	248.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	2.0	0	1.0	2.0	2.0	0.0	0.0
NM_032773	LRCH3	361.0	64	936.0	425.0	391.0	6.0	15.0
NM_001195076	C19orf81	21.0	0	3.0	21.0	15.0	0.0	6.0
NM_001350073	ZNF692	301.0	30	103.0	331.0	152.0	152.0	23.0
NM_001005291	SREBF1	3591.0	367	703.0	3958.0	3266.0	42.0	632.0
NM_138803	CCDC148	1.0	0	22.0	1.0	1.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	171.0	14	202.0	185.0	73.0	6.0	104.0
NM_018210	NAXD	397.0	23	341.0	420.0	173.0	13.0	233.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	1308.0	45	1616.0	1353.0	634.0	78.0	615.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	241.0	20	56.0	261.0	113.0	32.0	113.0
NM_001144954	C5orf47	0.0	0	1.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	20.0	3	12.0	23.0	12.0	10.0	1.0
NM_003772	JRKL	183.0	0	0.0	183.0	109.0	8.0	66.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	230.0	3	75.0	233.0	117.0	14.0	99.0
NM_001114086	CLIC5	2.0	0	2.0	2.0	1.0	0.0	1.0
NM_001204375	NPR3	10.0	1	11.0	11.0	2.0	0.0	9.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	4.0	5	0.0	9.0	4.0	4.0	0.0
NM_194460	RNF126	326.0	32	127.0	358.0	205.0	31.0	98.0
NM_001031743	CFAP206	0.0	0	9.0	0.0	0.0	0.0	0.0
NM_001329941	LIPT2	43.0	0	1.0	43.0	17.0	1.0	23.0
NM_002178	IGFBP6	2.0	0	0.0	2.0	1.0	1.0	0.0
NM_001145297	EXOC7	1111.0	105	248.0	1216.0	661.0	16.0	527.0
NM_152559	METTL27	10.0	1	12.0	11.0	9.0	1.0	1.0
NM_001300901	TCEAL4	50.0	0	20.0	50.0	30.0	0.0	20.0
NM_181708	BCDIN3D	86.0	0	20.0	86.0	57.0	2.0	23.0
NM_006012	CLPP	415.0	65	15.0	480.0	359.0	20.0	88.0
NM_006794	GPR75	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001206427	ATP5MD	353.0	34	126.0	387.0	135.0	202.0	50.0
NM_001136050	DHRS1	52.0	14	32.0	66.0	51.0	9.0	3.0
NM_000797	DRD4	10.0	0	14.0	10.0	9.0	0.0	0.0
NM_014975	MAST1	26.0	2	9.0	28.0	27.0	0.0	1.0
NM_001270616	PROX1	1.0	0	1.0	1.0	0.0	0.0	1.0
NM_000417	IL2RA	71.0	5	98.0	76.0	26.0	7.0	40.0
NM_001731	BTG1	343.0	1	11.0	344.0	110.0	29.0	204.0
NM_001002231	KLK2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001283009	RTEL1	569.0	58	299.0	627.0	513.0	46.0	64.0
NM_001001918	OR14C36	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_053042	ZNF518B	750.0	0	137.0	750.0	419.0	49.0	274.0
NM_001324321	MAST2	356.0	42	959.0	398.0	386.0	3.0	4.0
NM_005958	MTNR1A	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002700	POU4F3	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_014587	SOX8	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001286076	RPA2	878.0	38	364.0	916.0	263.0	278.0	348.0
NM_001321449	IZUMO2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_006594	AP4B1	492.0	46	277.0	538.0	491.0	26.0	12.0
NM_001330332	CD70	157.0	12	77.0	169.0	112.0	24.0	21.0
NM_004288	CYTIP	79.0	6	108.0	85.0	44.0	5.0	29.0
NM_001281432	ZNHIT3	70.0	18	259.0	88.0	57.0	8.0	7.0
NM_001170569	CXorf56	186.0	1	76.0	187.0	33.0	12.0	142.0
NM_014429	MORC1	5.0	0	20.0	5.0	4.0	0.0	1.0
NM_021025	TLX3	6.0	0	0.0	6.0	3.0	1.0	2.0
NM_031438	NUDT12	303.0	15	71.0	318.0	159.0	16.0	137.0
NM_014297	ETHE1	119.0	19	61.0	138.0	103.0	11.0	12.0
NM_001001917	OR56A1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001321245	PLSCR5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_021133	RNASEL	306.0	11	36.0	317.0	175.0	24.0	112.0
NM_021141	XRCC5	5076.0	1107	3806.0	6183.0	4708.0	259.0	1097.0
NM_002367	MAGEB4	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_030630	HID1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_015896	ZMYND10	4.0	1	0.0	5.0	3.0	0.0	2.0
NM_006811	SERINC3	1817.0	111	439.0	1928.0	795.0	109.0	983.0
NM_001320820	COQ10B	195.0	6	153.0	201.0	62.0	11.0	121.0
NM_001348397	ST3GAL4	133.0	17	368.0	150.0	95.0	5.0	48.0
NM_001355224	CCDC30	17.0	0	89.0	17.0	5.0	12.0	0.0
NM_001330066	TP53TG3F	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001168247	SLFNL1	1.0	0	1.0	1.0	0.0	1.0	0.0
NM_001127266	TMEM129	425.0	8	88.0	433.0	214.0	37.0	173.0
NM_003294	TPSAB1	117.0	8	0.0	125.0	97.0	8.0	20.0
NM_001297573	TRERF1	106.0	3	470.0	109.0	56.0	10.0	40.0
NM_018489	ASH1L	1656.0	46	2776.0	1702.0	1433.0	62.0	196.0
NM_024759	NIPAL2	200.0	8	379.0	208.0	61.0	22.0	121.0
NM_001101339	C12orf77	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001244666	STX5	246.0	29	149.0	275.0	168.0	19.0	79.0
NM_001102420	ZFAND5	782.0	5	293.0	787.0	65.0	127.0	595.0
NM_024508	ZBED2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_007069	PLA2G16	2.0	0	1.0	2.0	1.0	1.0	0.0
NM_016212	TP53TG3	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001113511	ARHGEF7	343.0	50	1952.0	393.0	336.0	3.0	54.0
NM_145719	TIGD3	14.0	0	1.0	14.0	14.0	0.0	0.0
NM_198517	TBC1D10C	106.0	13	15.0	119.0	89.0	3.0	25.0
NM_001318043	DTD1	197.0	31	173.0	228.0	156.0	30.0	21.0
NM_001038707	CDC42SE1	894.0	14	123.0	908.0	64.0	105.0	727.0
NM_001037666	CASTOR1	32.0	5	1.0	37.0	26.0	2.0	7.0
NM_001098409	GAGE12G	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001184819	GNL3L	1902.0	73	307.0	1975.0	772.0	65.0	1127.0
NM_001353349	SPATA21	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_007366	PLA2R1	0.0	0	1.0	0.0	0.0	0.0	0.0
NM_002432	MNDA	39.0	1	27.0	40.0	27.0	7.0	3.0
NM_001289984	JADE2	539.0	33	316.0	572.0	313.0	24.0	226.0
NM_001017920	DAPL1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001012643	MYPOP	52.0	2	26.0	54.0	30.0	1.0	22.0
