Gene,AccNum,seqlogo_logL_L24_t1,seqlogo_logL_S15_t0,seqlogo_logL_S15_t1,seqlogo_logL_S15_t2,TIS,MFE_fpUTR_normed,MFE_fpUTRandORF_normed,ER_L24_t1_logFC,ER_L24_t1_change,ER_S15_t0_logFC,ER_S15_t0_change,ER_S15_t1_logFC,ER_S15_t1_change,ER_S15_t2_logFC,ER_S15_t2_change,fpUTR_gc_percent
MYO1D,NM_015194,-14.542486125137456,-15.117325988533793,-15.447781534917308,-13.241357549570862,91.0,-0.5226578073089699,-0.5040897755610972,-0.48991401316329,No,-0.303135413402574,No,-0.46613859999999996,No,-0.48506930000000004,No,0.8073089700996677
PPP1R14B,NM_138689,-14.550682892341635,-15.397988587696595,-15.667536905158679,-13.566779950005492,91.0,-0.6441044776119403,-0.6220380434782609,1.0732615761920201,enrich,1.09519423175814,enrich,1.694895,enrich,0.6557614,No,0.8283582089552238
AGFG1,NM_001135187,-14.663012077315555,-15.412760981075325,-15.725219897788026,-13.634400137680466,113.0,-0.6664399999999999,-0.5982285714285714,-0.198402252151803,No,0.158026854589738,No,0.3749091,No,0.2827303,No,0.832
LAMP1,NM_005561,-14.668465927998021,-15.438870912221999,-15.744788374172876,-13.810126208637216,98.0,-0.5197153024911032,-0.5090288713910761,0.290764005492019,No,-0.145868174384596,No,-0.27079200000000003,No,-0.2684009,No,0.7864768683274022
AFG3L2,NM_006796,-14.691182954282253,-15.474772835251105,-15.75366385185325,-13.876346815957776,113.0,-0.560618556701031,-0.6206462585034014,-0.0852385649587428,No,-0.30432725090386203,No,-0.4315518,No,-0.2627791,No,0.7989690721649485
LRRC47,NM_020710,-14.708471262611717,-15.519685522674116,-15.782989873387947,-13.887984714495914,91.0,-0.4332142857142857,-0.5003125,0.215207195656038,No,0.477211973054558,No,0.4009072,No,0.16986170000000003,No,0.75
E2F4,NM_001950,-14.745426969134149,-15.524504809110065,-15.868101989880607,-14.021516107120435,97.0,-0.534920634920635,-0.5640490797546012,0.219263073228202,No,0.299091486777046,No,0.34511379999999997,No,0.49014009999999997,No,0.8571428571428571
N4BP1,NM_153029,-14.773826443655846,-15.54892994866138,-15.876139241256835,-14.057564822888036,97.0,-0.640168776371308,-0.6053115727002968,-0.284489509423893,No,-0.425603816082778,No,-0.539456401022961,No,-0.1855226,No,0.8143459915611815
FBXW4,NM_022039,-14.78257923476544,-15.569549235864114,-15.892405829925474,-14.125807675589359,111.0,-0.2728612716763006,-0.3623542600896861,0.35075257299521506,No,-0.0198332663356989,No,-0.03701851,No,-0.3470428,No,0.7023121387283237
FIP1L1,NM_030917,-14.790776001969617,-15.613419328542399,-15.929276983211697,-14.12687662277826,83.0,-0.4386559139784946,-0.45402097902097904,-0.426277969366995,No,-0.0375973510500498,No,-0.0130932221625076,No,-0.1696152,No,0.6720430107526881
CHKB,NM_005198,-14.791844949158525,-15.62040034585357,-15.935963558550766,-14.187501244594698,98.0,-0.4558715596330275,-0.4794968553459119,-0.273188284936682,No,0.454713305573475,No,0.2531521,No,0.10134069999999999,No,0.7247706422018348
CCDC6,NM_005436,-14.845333634109508,-15.633629782023338,-15.937602656482095,-14.329817466774953,113.0,-0.41030172413793103,-0.4505120481927711,0.133265003851354,No,0.212248448381952,No,0.3069259,No,0.06986328,No,0.7198275862068966
DENND4B,NM_014856,-14.84711775590301,-15.644076762849544,-15.948136150544606,-14.365287646223262,102.0,-0.6270573566084787,-0.5877844311377246,0.46589882064002,No,0.272107686908513,No,0.2913099,No,-0.01059234,No,0.7905236907730673
METTL17,NM_001029991,-14.889008697612171,-15.670166473612412,-15.961285260689328,-14.557659538870716,103.0,-0.3179695431472081,-0.38892255892255895,0.14307440843006303,No,-0.174326500321976,No,-0.246398302544077,No,-0.10938160000000001,No,0.5380710659898477
RASA2,NM_001303246,-14.903113303793715,-15.692631212614295,-15.984544999145156,-14.56311338955318,92.0,-0.40891891891891896,-0.5437226277372262,-0.24301447111262303,No,-0.0714217927637104,No,-0.06346012,No,-0.01517461,No,0.8648648648648649
UBQLN4,NM_020131,-14.920645782555356,-15.721388742750456,-16.006632357226213,-14.637221361706905,104.0,-0.3634677419354839,-0.4462946428571429,-0.0841622049508462,No,0.0621955414632515,No,-0.41403520879578504,No,-0.36592506513459006,No,0.8145161290322581
KHDC4,NM_014949,-14.968570520448356,-15.73020249317894,-16.013896367698955,-14.703613451493798,75.0,-0.22478260869565214,-0.4997041420118343,-0.187243783027257,No,0.21467341497427803,No,0.12179960000000001,No,-0.05562554,No,0.6231884057971014
BICD2,NM_001003800,-14.978620856301855,-15.74124051130319,-16.024409597709084,-14.713594340491474,74.0,-0.4392982456140351,-0.5097452229299363,0.0720086091827393,No,0.258571847240837,No,0.128998643842027,No,-0.120112800984331,No,0.7543859649122807
GNPTG,NM_032520,-14.998423483598035,-15.759778632302101,-16.056541908432926,-14.73438511016055,97.0,-0.5391044776119402,-0.5685628742514971,0.9187160851674621,No,0.296543984400047,No,0.5842763000000001,No,0.02410067,No,0.746268656716418
SF1,NM_004630,-15.081311143403804,-15.792692787178323,-16.05714290761928,-14.818954856149304,91.0,-0.4125884955752213,-0.3932427536231884,0.0178788083710473,No,0.14246213531790197,No,0.0977761,No,-0.0929049,No,0.7079646017699115
TRIM8,NM_030912,-15.089679393074322,-15.80451452614349,-16.061028542361267,-14.832446323336766,91.0,-0.6571544715447154,-0.5124215246636771,0.25619649000304995,No,0.143968169487519,No,0.39751108949507197,No,0.3858812,No,0.8373983739837398
GOPC,NM_020399,-15.103783999255864,-15.844336020330164,-16.07060116393076,-14.850795462004962,70.0,-0.4809448818897638,-0.5034745762711864,-0.15767019284381,No,-0.145574430862939,No,-0.18459774781194396,No,-0.33672620081408894,No,0.6929133858267716
AEBP2,NM_153207,-15.103783999255864,-15.845107923108745,-16.074571571933355,-14.868813967507641,91.0,-0.1153846153846154,-0.483015873015873,-0.21119555378462898,No,0.522671727016675,No,0.6147758368868179,No,0.282558960090998,No,0.7692307692307693
GTF3C6,NM_138408,-15.110752668571957,-15.863788708862055,-16.093285535949274,-14.916285702940712,102.0,-0.5076190476190476,-0.4541612903225806,-0.42654291767546504,No,0.34626297006132295,No,0.20637533434428698,No,0.6300753563492509,No,0.6857142857142857
MIB2,NM_080875,-15.15727268420685,-15.885821740114295,-16.09873340608959,-14.91880019111902,111.0,-0.4108888888888889,-0.523448275862069,0.0125169271755251,No,0.850346041402087,No,0.1716406,No,0.2427549,No,0.7555555555555555
PDCD2L,NM_032346,-15.163787365228044,-15.904771129883144,-16.132581354837562,-14.926757002808008,113.0,-0.23606060606060605,-0.4869172932330828,0.17836046399718802,No,-0.308333284793866,No,0.009491588,No,-0.5912073,No,0.6363636363636364
MPC2,NM_001143674,-15.18440665243078,-15.905348003486102,-16.180362490909445,-14.937806838994591,79.0,-0.3977127659574468,-0.4309375,0.00930288042877605,No,-0.396772136462794,No,-0.6490686542914771,No,0.0336885121983229,No,0.723404255319149
